Country,Beta0 (Coeff),Beta1 (Ratio),Beta2 (Price),e0 (Coeff),e1 (Ratio),e2 (Price),t0 (Coeff),t1 (Ratio),t2 (Price),95%% Coeff. Int (Coeff),95%% Coeff. Int (Ratio),95%% Coeff. Int (Price)
Colombia,18.9377292013,-0.534444689286,0.427156509354,0.113151591381,0.0823270530356,0.124948204095,167.36599963,-6.49172622582,3.41866865914,"[18.7000065291, 19.1754518735]","[-0.707407409516, -0.361481969055]","[0.164650073483, 0.689662945225]"
Comoros,12.4072712579,-1.37639953335,0.1115814754,0.407728978821,0.250043167375,0.0684795908531,30.430192364,-5.50464764862,1.62941212133,"[11.5506644599, 13.263878056]","[-1.9017207347, -0.851078331996]","[-0.0322888063303, 0.25545175713]"
Congo,13.8649498268,-0.953971213035,0.267458955088,0.259959491795,0.164388620116,0.155607224065,53.3350397445,-5.80314630271,1.71880808681,"[13.318795201, 14.4111044527]","[-1.2993388882, -0.608603537869]","[-0.05945969157, 0.594377601746]"
Costa Rica,17.7344772585,-0.481770104362,0.664387575991,0.162438479196,0.0936698109442,0.290903046417,109.176577781,-5.14328041773,2.28387974679,"[17.3932066774, 18.0757478397]","[-0.67856307468, -0.284977134044]","[0.0532229542012, 1.27555219778]"
Cote d'Ivoire,16.2490075519,-0.600895845792,0.134415655067,0.12046374701,0.0751474611672,0.0795652794565,134.887117121,-7.99622284583,1.68937576774,"[15.9959226107, 16.502092493]","[-0.758774803226, -0.443016888357]","[-0.0327447941812, 0.301576104315]"
Croatia,16.9276526491,-0.25099929488,0.0859207515846,0.32162324354,0.183744290556,0.339318979102,52.6319318927,-1.36602500203,0.253215283778,"[16.2490869197, 17.6062183785]","[-0.638665861433, 0.136667271672]","[-0.62997971638, 0.801821219549]"
Cuba,17.4703917879,-0.802925913278,0.187489517648,0.363279205887,0.627436532939,0.101128245326,48.0908114331,-1.27969264001,1.85397775906,"[16.7071704975, 18.2336130783]","[-2.12112115418, 0.515269327627]","[-0.0249730418487, 0.399952077145]"
Cyprus,16.2014084645,-0.230893039134,0.395014833302,0.101724982647,0.0527713866003,0.18116381469,159.266760661,-4.37534531513,2.18042898897,"[15.9876922064, 16.4151247225]","[-0.341761608337, -0.120024469932]","[0.0144037821253, 0.77562588448]"
Czech Republic,16.7057286039,-0.224267692071,0.847747076113,0.12807381956,0.076167566693,0.151269918427,130.438278965,-2.94439880133,5.60420131727,"[16.4366554936, 16.9748017142]","[-0.384289811688, -0.0642455724546]","[0.529940770464, 1.16555338176]"
Denmark,17.7492163132,-0.447450001039,-0.22541973401,0.109880718958,0.076420097253,0.0728198325197,161.53167254,-5.8551351951,-3.09558160476,"[17.5183654889, 17.9800671374]","[-0.608002667675, -0.286897334403]","[-0.378408525117, -0.0724309429021]"
Djibouti,13.3119721184,-0.860539555819,0.358092580462,0.240425868222,0.108110866253,0.131394343982,55.3683021586,-7.95978781456,2.72532720671,"[12.8068561129, 13.817088124]","[-1.08767205752, -0.633407054119]","[0.0820433072269, 0.634141853697]"
Dominica,15.845258309,-0.476061259004,0.314797784883,0.229572360756,0.162226614178,0.164245210389,69.0207577989,-2.93454475035,1.91663296687,"[15.3629446765, 16.3275719416]","[-0.816886728244, -0.135235789764]","[-0.0302685976274, 0.659864167394]"
Dominican Republic,19.2868823171,-0.638460390811,0.26741316605,0.0897799582375,0.0411376528292,0.105932054618,214.823917227,-15.520097694,2.52438383279,"[19.098261624, 19.4755030101]","[-0.724887392324, -0.552033389298]","[0.0448581777364, 0.489968154364]"
Ecuador,18.7774032318,-0.795430259405,-0.0989849989199,0.255218558164,0.059422801079,0.142961348825,73.5738159751,-13.3859435261,-0.692389934294,"[18.2412089378, 19.3135975257]","[-0.920272931885, -0.670587586926]","[-0.39933564757, 0.20136564973]"
Egypt,16.8624687367,-0.492601009782,0.912825177421,0.188329671125,0.0423016827628,0.108400042612,89.5369733084,-11.6449506878,8.42089316043,"[16.4668027798, 17.2581346936]","[-0.581473547438, -0.403728472126]","[0.685085138735, 1.14056521611]"
El Salvador,18.2744701046,-1.02008483964,0.302707706881,0.128806071274,0.055164581599,0.0575654603111,141.875844235,-18.4916627676,5.25849537632,"[18.0038585906, 18.5450816187]","[-1.13598132496, -0.904188354321]","[0.181767162557, 0.423648251205]"
Equatorial Guinea,12.3787860633,-1.40796587305,0.150470043916,0.194350434641,0.123602103237,0.0438276057702,63.6931226117,-11.3911158158,3.43322527598,"[11.9704709516, 12.7871011749]","[-1.66764425596, -1.14828749014]","[0.0583916609822, 0.242548426849]"
